index,neighborhood,Marijuana,Heroin
0,Allston,1378,2210
1,Allston / Brighton,13886,22270
2,Back Bay,44642,202201
3,Beacon Hill,15561,29106
4,Boston,80196,238025
5,Brighton,1166,1870
6,Charlestown,7020,22230
7,Dorchester,207892,651286
8,Downtown,141114,265137
9,East Boston,33264,51912
10,Fenway,36008,192786
11,Greater Mattapan,19700,49300
12,Hyde Park,10101,18564
13,Jamaica Plain,53764,173830
14,Mattapan,2241,5175
15,Mission Hill,40996,115989
16,Roslindale,5931,13362
17,Roxbury,611935,2102187
18,South Boston,9095,50745
19,South Boston Waterfront,126367,699503
20,South End,221055,1226111
21,West Roxbury,3960,9450
22,Longwood Medical Area,36008,192786
